Symbol,CompanyName,Sector,Industry,MarketCapCr,CapCategory
HCL-INSYS,HCL Infosystems Limited,Technology,Electronics & Computer Distribution,363.0,Small Cap
HCLTECH,HCL Technologies Limited,Technology,Information Technology Services,351587.0,Large Cap
HDBFS,HDB Financial Services Limited,Financial Services,Credit Services,56815.0,Large Cap
HDFCAMC,HDFC Asset Management Company Limited,Financial Services,Asset Management,114175.0,Large Cap
HDFCBANK,HDFC Bank Limited,Financial Services,Banks - Regional,1113907.0,Large Cap
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services,Insurance - Life,118870.0,Large Cap
HEADSUP,Heads UP Ventures Limited,Consumer Cyclical,Apparel Retail,15.0,Small Cap
HEALTHX,Health X Platform Limited,Healthcare,Pharmaceutical Retailers,954.0,Small Cap
HECPROJECT,HEC Infra Projects Limited,Industrials,Engineering & Construction,127.0,Small Cap
HEG,HEG Limited,Industrials,Electrical Equipment & Parts,13930.0,Small Cap
HEIDELBERG,HeidelbergCement India Limited,Basic Materials,Building Materials,3649.0,Small Cap
HEMIPROP,Hemisphere Properties India Limited,Real Estate,Real Estate - Diversified,3695.0,Small Cap
HERANBA,Heranba Industries Limited,Basic Materials,Agricultural Inputs,700.0,Small Cap
HERITGFOOD,Heritage Foods Limited,Consumer Defensive,Packaged Foods,3545.0,Small Cap
HEROMOTOCO,Hero MotoCorp Limited,Consumer Cyclical,Auto Manufacturers,112439.0,Large Cap
HESTERBIO,Hester Biosciences Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2020.0,Small Cap
HEXATRADEX,Hexa Tradex Limited,Financial Services,Credit Services,889.0,Small Cap
HEXT,Hexaware Technologies Limited,Technology,Information Technology Services,34069.0,Mid Cap
HFCL,HFCL Limited,Technology,Communication Equipment,36336.0,Mid Cap
HGINFRA,H.G. Infra Engineering Limited,Industrials,Engineering & Construction,3272.0,Small Cap
HGM,Handson Global Management (HGM) Limited,Technology,Information Technology Services,55.0,Small Cap
HGS,Hinduja Global Solutions Limited,Industrials,Specialty Business Services,1862.0,Small Cap
HIKAL,Hikal Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2570.0,Small Cap
HILINFRA,,Industrials,Infrastructure Operations,326.0,Small Cap
